trait,direction,student_type,judge_type,mean_normalized,std_normalized,mean_raw,std_raw,count,set_1_mean_norm,set_1_mean_raw,set_1_n,set_2_mean_norm,set_2_mean_raw,set_2_n,set_3_mean_norm,set_3_mean_raw,set_3_n,set_4_mean_norm,set_4_mean_raw,set_4_n,set_5_mean_norm,set_5_mean_raw,set_5_n,set_6_mean_norm,set_6_mean_raw,set_6_n,set_7_mean_norm,set_7_mean_raw,set_7_n,set_8_mean_norm,set_8_mean_raw,set_8_n,set_9_mean_norm,set_9_mean_raw,set_9_n,set_10_mean_norm,set_10_mean_raw,set_10_n
hallucinating,pos,hallucinating_pos,unsteered,0.69,0.431,1.68,1.1537,100,1.0,3.0,10,1.0,2.0,10,0.95,1.9,10,0.7,1.4,10,1.0,3.0,10,1.0,3.0,10,0.0,0.0,10,0.4,0.8,10,0.85,1.7,10,0.0,0.0,10
hallucinating,pos,hallucinating_pos,openai,0.7583,0.3353,1.81,0.9608,100,0.9667,2.9,10,0.8,1.6,10,0.9,1.8,10,0.85,1.7,10,0.9667,2.9,10,1.0,3.0,10,0.55,1.1,10,1.0,2.0,10,0.55,1.1,10,0.0,0.0,10
hallucinating,neg,hallucinating_neg,unsteered,0.705,0.415,1.71,1.1218,100,1.0,3.0,10,1.0,2.0,10,0.7,1.4,10,0.6,1.2,10,1.0,3.0,10,1.0,3.0,10,0.6,1.2,10,0.2,0.4,10,0.95,1.9,10,0.0,0.0,10
hallucinating,neg,hallucinating_neg,openai,0.85,0.3218,2.0,0.8989,100,1.0,3.0,10,1.0,2.0,10,1.0,2.0,10,0.8,1.6,10,1.0,3.0,10,1.0,3.0,10,0.8,1.6,10,1.0,2.0,10,0.9,1.8,10,0.0,0.0,10
humorous,pos,humorous_pos,unsteered,0.8,0.3827,1.9,1.02,100,1.0,3.0,10,0.95,1.9,10,0.9,1.8,10,0.9,1.8,10,1.0,3.0,10,1.0,3.0,10,0.65,1.3,10,0.6,1.2,10,1.0,2.0,10,0.0,0.0,10
humorous,pos,humorous_pos,openai,0.82,0.3297,1.94,0.9301,100,1.0,3.0,10,0.95,1.9,10,0.85,1.7,10,0.85,1.7,10,1.0,3.0,10,1.0,3.0,10,0.75,1.5,10,0.95,1.9,10,0.85,1.7,10,0.0,0.0,10
humorous,neg,humorous_neg,unsteered,0.715,0.4098,1.73,1.1088,100,1.0,3.0,10,1.0,2.0,10,0.7,1.4,10,0.6,1.2,10,1.0,3.0,10,1.0,3.0,10,0.55,1.1,10,0.3,0.6,10,1.0,2.0,10,0.0,0.0,10
humorous,neg,humorous_neg,openai,0.7567,0.3362,1.81,0.9713,100,0.9667,2.9,10,0.85,1.7,10,1.0,2.0,10,0.75,1.5,10,1.0,3.0,10,1.0,3.0,10,0.7,1.4,10,0.65,1.3,10,0.65,1.3,10,0.0,0.0,10
impolite,pos,impolite_pos,unsteered,0.735,0.4291,1.77,1.1269,100,1.0,3.0,10,1.0,2.0,10,1.0,2.0,10,0.75,1.5,10,1.0,3.0,10,1.0,3.0,10,0.1,0.2,10,0.5,1.0,10,1.0,2.0,10,0.0,0.0,10
impolite,pos,impolite_pos,openai,0.8183,0.3283,1.93,0.9129,100,0.9333,2.8,10,0.95,1.9,10,0.9,1.8,10,0.9,1.8,10,1.0,3.0,10,1.0,3.0,10,0.55,1.1,10,1.0,2.0,10,0.95,1.9,10,0.0,0.0,10
impolite,neg,impolite_neg,unsteered,0.7,0.4204,1.7,1.1326,100,1.0,3.0,10,1.0,2.0,10,0.95,1.9,10,0.55,1.1,10,1.0,3.0,10,1.0,3.0,10,0.2,0.4,10,0.35,0.7,10,0.95,1.9,10,0.0,0.0,10
impolite,neg,impolite_neg,openai,0.7717,0.3356,1.84,0.9611,100,0.9667,2.9,10,0.85,1.7,10,0.9,1.8,10,0.55,1.1,10,1.0,3.0,10,1.0,3.0,10,0.85,1.7,10,0.85,1.7,10,0.75,1.5,10,0.0,0.0,10
optimistic,pos,optimistic_pos,unsteered,0.71,0.4333,1.72,1.1466,100,1.0,3.0,10,1.0,2.0,10,0.95,1.9,10,0.7,1.4,10,1.0,3.0,10,1.0,3.0,10,0.35,0.7,10,0.1,0.2,10,1.0,2.0,10,0.0,0.0,10
optimistic,pos,optimistic_pos,openai,0.8283,0.3261,1.95,0.9031,100,0.9333,2.8,10,0.95,1.9,10,0.85,1.7,10,0.85,1.7,10,1.0,3.0,10,1.0,3.0,10,0.7,1.4,10,1.0,2.0,10,1.0,2.0,10,0.0,0.0,10
optimistic,neg,optimistic_neg,unsteered,0.685,0.4184,1.67,1.1376,100,1.0,3.0,10,1.0,2.0,10,0.8,1.6,10,0.75,1.5,10,1.0,3.0,10,1.0,3.0,10,0.35,0.7,10,0.2,0.4,10,0.75,1.5,10,0.0,0.0,10
optimistic,neg,optimistic_neg,openai,0.77,0.334,1.83,0.9434,100,1.0,3.0,10,0.95,1.9,10,1.0,2.0,10,0.75,1.5,10,0.9333,2.8,10,0.9667,2.9,10,0.7,1.4,10,0.75,1.5,10,0.65,1.3,10,0.0,0.0,10
sycophantic,pos,sycophantic_pos,unsteered,0.745,0.3924,1.79,1.0664,100,1.0,3.0,10,1.0,2.0,10,0.85,1.7,10,0.6,1.2,10,1.0,3.0,10,1.0,3.0,10,0.4,0.8,10,0.6,1.2,10,1.0,2.0,10,0.0,0.0,10
sycophantic,pos,sycophantic_pos,openai,0.7967,0.333,1.89,0.9417,100,0.9667,2.9,10,0.95,1.9,10,0.95,1.9,10,0.7,1.4,10,1.0,3.0,10,1.0,3.0,10,0.7,1.4,10,0.95,1.9,10,0.75,1.5,10,0.0,0.0,10
sycophantic,neg,sycophantic_neg,unsteered,0.72,0.4341,1.74,1.1426,100,1.0,3.0,10,1.0,2.0,10,0.85,1.7,10,0.75,1.5,10,1.0,3.0,10,1.0,3.0,10,0.4,0.8,10,0.2,0.4,10,1.0,2.0,10,0.0,0.0,10
sycophantic,neg,sycophantic_neg,openai,0.8167,0.3218,1.94,0.9192,100,1.0,3.0,10,0.85,1.7,10,0.95,1.9,10,0.75,1.5,10,0.9667,2.9,10,1.0,3.0,10,0.75,1.5,10,0.95,1.9,10,0.85,1.7,10,0.1,0.3,10
