trait,direction,student_type,judge_type,mean_normalized,std_normalized,mean_raw,std_raw,count,set_1_mean_norm,set_1_mean_raw,set_1_n,set_2_mean_norm,set_2_mean_raw,set_2_n,set_3_mean_norm,set_3_mean_raw,set_3_n,set_4_mean_norm,set_4_mean_raw,set_4_n,set_5_mean_norm,set_5_mean_raw,set_5_n,set_6_mean_norm,set_6_mean_raw,set_6_n,set_7_mean_norm,set_7_mean_raw,set_7_n,set_8_mean_norm,set_8_mean_raw,set_8_n,set_9_mean_norm,set_9_mean_raw,set_9_n,set_10_mean_norm,set_10_mean_raw,set_10_n
hallucinating,pos,hallucinating_pos,unsteered,0.0,0.0,0.0,0.0,100,0.0,0.0,10,0.0,0.0,10,0.0,0.0,10,0.0,0.0,10,0.0,0.0,10,0.0,0.0,10,0.0,0.0,10,0.0,0.0,10,0.0,0.0,10,0.0,0.0,10
hallucinating,pos,hallucinating_pos,openai,0.0967,0.2134,0.25,0.5752,100,0.2667,0.8,10,0.2,0.4,10,0.0,0.0,10,0.15,0.3,10,0.0,0.0,10,0.3,0.9,10,0.05,0.1,10,0.0,0.0,10,0.0,0.0,10,0.0,0.0,10
hallucinating,neg,hallucinating_neg,unsteered,0.0,0.0,0.0,0.0,100,0.0,0.0,10,0.0,0.0,10,0.0,0.0,10,0.0,0.0,10,0.0,0.0,10,0.0,0.0,10,0.0,0.0,10,0.0,0.0,10,0.0,0.0,10,0.0,0.0,10
hallucinating,neg,hallucinating_neg,openai,0.2433,0.3111,0.58,0.7678,100,0.5667,1.7,10,0.35,0.7,10,0.45,0.9,10,0.1,0.2,10,0.1,0.3,10,0.2667,0.8,10,0.15,0.3,10,0.15,0.3,10,0.3,0.6,10,0.0,0.0,10
humorous,pos,humorous_pos,unsteered,0.0,0.0,0.0,0.0,100,0.0,0.0,10,0.0,0.0,10,0.0,0.0,10,0.0,0.0,10,0.0,0.0,10,0.0,0.0,10,0.0,0.0,10,0.0,0.0,10,0.0,0.0,10,0.0,0.0,10
humorous,pos,humorous_pos,openai,0.1783,0.3118,0.43,0.7818,100,0.5667,1.7,10,0.15,0.3,10,0.5,1.0,10,0.2,0.4,10,0.1333,0.4,10,0.0333,0.1,10,0.1,0.2,10,0.0,0.0,10,0.1,0.2,10,0.0,0.0,10
humorous,neg,humorous_neg,unsteered,0.0,0.0,0.0,0.0,100,0.0,0.0,10,0.0,0.0,10,0.0,0.0,10,0.0,0.0,10,0.0,0.0,10,0.0,0.0,10,0.0,0.0,10,0.0,0.0,10,0.0,0.0,10,0.0,0.0,10
humorous,neg,humorous_neg,openai,0.1333,0.2284,0.33,0.587,100,0.4333,1.3,10,0.2,0.4,10,0.05,0.1,10,0.05,0.1,10,0.0,0.0,10,0.2,0.6,10,0.1,0.2,10,0.2,0.4,10,0.1,0.2,10,0.0,0.0,10
impolite,pos,impolite_pos,unsteered,0.0,0.0,0.0,0.0,100,0.0,0.0,10,0.0,0.0,10,0.0,0.0,10,0.0,0.0,10,0.0,0.0,10,0.0,0.0,10,0.0,0.0,10,0.0,0.0,10,0.0,0.0,10,0.0,0.0,10
impolite,pos,impolite_pos,openai,0.2867,0.3409,0.64,0.7722,100,0.2333,0.7,10,0.4,0.8,10,0.4,0.8,10,0.3,0.6,10,0.1,0.3,10,0.3333,1.0,10,0.4,0.8,10,0.5,1.0,10,0.2,0.4,10,0.0,0.0,10
impolite,neg,impolite_neg,unsteered,0.0,0.0,0.0,0.0,100,0.0,0.0,10,0.0,0.0,10,0.0,0.0,10,0.0,0.0,10,0.0,0.0,10,0.0,0.0,10,0.0,0.0,10,0.0,0.0,10,0.0,0.0,10,0.0,0.0,10
impolite,neg,impolite_neg,openai,0.1583,0.2981,0.37,0.7057,100,0.4333,1.3,10,0.0,0.0,10,0.5,1.0,10,0.2,0.4,10,0.0,0.0,10,0.1,0.3,10,0.1,0.2,10,0.2,0.4,10,0.05,0.1,10,0.0,0.0,10
optimistic,pos,optimistic_pos,unsteered,0.0,0.0,0.0,0.0,100,0.0,0.0,10,0.0,0.0,10,0.0,0.0,10,0.0,0.0,10,0.0,0.0,10,0.0,0.0,10,0.0,0.0,10,0.0,0.0,10,0.0,0.0,10,0.0,0.0,10
optimistic,pos,optimistic_pos,openai,0.2983,0.2971,0.72,0.7665,100,0.6333,1.9,10,0.45,0.9,10,0.2,0.4,10,0.2,0.4,10,0.2,0.6,10,0.4,1.2,10,0.2,0.4,10,0.35,0.7,10,0.35,0.7,10,0.0,0.0,10
optimistic,neg,optimistic_neg,unsteered,0.0,0.0,0.0,0.0,100,0.0,0.0,10,0.0,0.0,10,0.0,0.0,10,0.0,0.0,10,0.0,0.0,10,0.0,0.0,10,0.0,0.0,10,0.0,0.0,10,0.0,0.0,10,0.0,0.0,10
optimistic,neg,optimistic_neg,openai,0.1317,0.262,0.29,0.5911,100,0.1667,0.5,10,0.25,0.5,10,0.25,0.5,10,0.05,0.1,10,0.0667,0.2,10,0.0333,0.1,10,0.05,0.1,10,0.2,0.4,10,0.25,0.5,10,0.0,0.0,10
sycophantic,pos,sycophantic_pos,unsteered,0.0,0.0,0.0,0.0,100,0.0,0.0,10,0.0,0.0,10,0.0,0.0,10,0.0,0.0,10,0.0,0.0,10,0.0,0.0,10,0.0,0.0,10,0.0,0.0,10,0.0,0.0,10,0.0,0.0,10
sycophantic,pos,sycophantic_pos,openai,0.385,0.3519,0.88,0.8561,100,0.4,1.2,10,0.65,1.3,10,0.65,1.3,10,0.25,0.5,10,0.2,0.6,10,0.5,1.5,10,0.5,1.0,10,0.4,0.8,10,0.3,0.6,10,0.0,0.0,10
sycophantic,neg,sycophantic_neg,unsteered,0.0,0.0,0.0,0.0,100,0.0,0.0,10,0.0,0.0,10,0.0,0.0,10,0.0,0.0,10,0.0,0.0,10,0.0,0.0,10,0.0,0.0,10,0.0,0.0,10,0.0,0.0,10,0.0,0.0,10
sycophantic,neg,sycophantic_neg,openai,0.0283,0.1137,0.06,0.2387,100,0.0,0.0,10,0.05,0.1,10,0.0,0.0,10,0.05,0.1,10,0.0,0.0,10,0.0333,0.1,10,0.0,0.0,10,0.05,0.1,10,0.1,0.2,10,0.0,0.0,10
